Оборотно-сальдовая ведомость по счету 10 за 2025 г.;;;;;;;
;;;;;;;
Счет;"Показа-
тели";Сальдо на начало периода;;Обороты за период;;Сальдо на конец периода;
Номенклатура;;Дебет;Кредит;Дебет;Кредит;Дебет;Кредит
Период;;;;;;;
10;БУ;512 669,72;;1 614 304,89;2 081 799,04;45 175,57;
;Кол.;4 569,750;;13 075,950;17 371,850;273,850;
Арахис;БУ;35 333,33;;175 833,32;207 833,32;3 333,33;
;Кол.;212,000;;1 055,000;1 247,000;20,000;
Обороты за Январь 25;БУ;35 333,33;;;4 833,33;30 500,00;
;Кол.;212,000;;;29,000;183,000;
Обороты за Февраль 25;БУ;30 500,00;;8 333,33;;38 833,33;
;Кол.;183,000;;50,000;;233,000;
Обороты за Март 25;БУ;38 833,33;;33 333,33;68 833,33;3 333,33;
;Кол.;233,000;;200,000;413,000;20,000;
Обороты за Апрель 25;БУ;3 333,33;;26 916,66;16 666,66;13 583,33;
;Кол.;20,000;;161,500;100,000;81,500;
Обороты за Май 25;БУ;13 583,33;;57 250,00;42 500,00;28 333,33;
;Кол.;81,500;;343,500;255,000;170,000;
Обороты за Июнь 25;БУ;28 333,33;;50 000,00;50 000,00;28 333,33;
;Кол.;170,000;;300,000;300,000;170,000;
Обороты за Июль 25;БУ;28 333,33;;;25 000,00;3 333,33;
;Кол.;170,000;;;150,000;20,000;
Вишня;БУ;73 500,46;;;35 000,22;38 500,24;
;Кол.;441,000;;;210,000;231,000;
Обороты за Май 25;БУ;73 500,46;;;5 000,03;68 500,43;
;Кол.;441,000;;;30,000;411,000;
Обороты за Июнь 25;БУ;68 500,43;;;20 000,13;48 500,30;
;Кол.;411,000;;;120,000;291,000;
Обороты за Июль 25;БУ;48 500,30;;;10 000,06;38 500,24;
;Кол.;291,000;;;60,000;231,000;
Какао-бобы;БУ;14 220,68;;114 471,06;127 809,02;882,72;
;Кол.;38,250;;324,250;360,000;2,500;
Обороты за Январь 25;БУ;14 220,68;;;2 788,37;11 432,31;
;Кол.;38,250;;;7,500;30,750;
Обороты за Март 25;БУ;11 432,31;;5 295,50;15 539,50;1 188,31;
;Кол.;30,750;;15,000;42,500;3,250;
Обороты за Апрель 25;БУ;1 188,31;;6 531,12;3 549,16;4 170,27;
;Кол.;3,250;;18,500;10,000;11,750;
Обороты за Май 25;БУ;4 170,27;;46 159,11;21 191,32;29 138,06;
;Кол.;11,750;;130,750;60,000;82,500;
Обороты за Июнь 25;БУ;29 138,06;;56 485,33;56 493,78;29 129,61;
;Кол.;82,500;;160,000;160,000;82,500;
Обороты за Июль 25;БУ;29 129,61;;;28 246,89;882,72;
;Кол.;82,500;;;80,000;2,500;
Какао-порошок;БУ;108 141,80;;459 096,22;565 675,37;1 562,65;
;Кол.;518,000;;2 203,750;2 714,250;7,500;
Обороты за Январь 25;БУ;108 141,80;;;16 962,40;91 179,40;
;Кол.;518,000;;;81,250;436,750;
Обороты за Февраль 25;БУ;91 179,40;;31 248,75;;122 428,15;
;Кол.;436,750;;150,000;;586,750;
Обороты за Март 25;БУ;122 428,15;;104 162,50;135 631,21;90 959,44;
;Кол.;586,750;;500,000;650,500;436,250;
Обороты за Апрель 25;БУ;90 959,44;;56 768,56;33 349,53;114 378,47;
;Кол.;436,250;;272,500;160,000;548,750;
Обороты за Май 25;БУ;114 378,47;;173 170,16;107 830,74;179 717,89;
;Кол.;548,750;;831,250;517,500;862,500;
Обороты за Июнь 25;БУ;179 717,89;;93 746,25;181 267,66;92 196,48;
;Кол.;862,500;;450,000;870,000;442,500;
Обороты за Июль 25;БУ;92 196,48;;;90 633,83;1 562,65;
;Кол.;442,500;;;435,000;7,500;
Коньяк;БУ;5 834,96;;37 916,66;43 751,62;;
;Кол.;14,000;;91,000;105,000;;
Обороты за Май 25;БУ;5 834,96;;12 916,66;6 250,54;12 501,08;
;Кол.;14,000;;31,000;15,000;30,000;
Обороты за Июнь 25;БУ;12 501,08;;25 000,00;25 000,72;12 500,36;
;Кол.;30,000;;60,000;60,000;30,000;
Обороты за Июль 25;БУ;12 500,36;;;12 500,36;;
;Кол.;30,000;;;30,000;;
Масло пальмовое;БУ;189 579,99;;83 137,62;272 626,79;90,82;
;Кол.;2 419,250;;1 185,000;3 603,000;1,250;
Обороты за Январь 25;БУ;189 579,99;;;8 071,40;181 508,59;
;Кол.;2 419,250;;;103,000;2 316,250;
Обороты за Февраль 25;БУ;181 508,59;;7 015,83;;188 524,42;
;Кол.;2 316,250;;100,000;;2 416,250;
Обороты за Март 25;БУ;188 524,42;;;78 803,79;109 720,63;
;Кол.;2 416,250;;;1 010,000;1 406,250;
Обороты за Апрель 25;БУ;109 720,63;;;18 725,65;90 994,98;
;Кол.;1 406,250;;;240,000;1 166,250;
Обороты за Май 25;БУ;90 994,98;;4 209,50;55 317,58;39 886,90;
;Кол.;1 166,250;;60,000;712,500;513,750;
Обороты за Июнь 25;БУ;39 886,90;;71 912,29;74 472,24;37 326,95;
;Кол.;513,750;;1 025,000;1 025,000;513,750;
Обороты за Июль 25;БУ;37 326,95;;;37 236,13;90,82;
