Оборотно-сальдовая ведомость по счету 62 за 2025 г.;;;;;;
;;;;;;
Выводимые данные: БУ (данные бухгалтерского учета);;;;;;
;;;;;;
Счет;Сальдо на начало периода;;Обороты за период;;Сальдо на конец периода;
Контрагенты;Дебет;Кредит;Дебет;Кредит;Дебет;Кредит
Период;;;;;;
62;4 677 090,84;;54 588 664,78;54 513 928,67;4 751 826,95;
Аквилон-Трейд;304 486,25;;1 675 710,00;1 562 572,50;417 623,75;
Обороты за Февраль 25;304 486,25;;508 080,00;304 757,50;507 808,75;
Обороты за Март 25;507 808,75;;363 030,00;287 880,00;582 958,75;
Обороты за Апрель 25;582 958,75;;46 840,00;278 472,50;351 326,25;
Обороты за Май 25;351 326,25;;30 805,00;37 377,50;344 753,75;
Обороты за Июнь 25;344 753,75;;58 955,00;9 462,50;394 246,25;
Обороты за Июль 25;394 246,25;;415 015,00;241 016,25;568 245,00;
Обороты за Август 25;568 245,00;;252 985,00;403 606,25;417 623,75;
Антикафе Земляника;744 270,24;;2 052 525,00;2 178 493,75;618 301,49;
Обороты за Январь 25;744 270,24;;312 735,00;370 518,75;686 486,49;
Обороты за Февраль 25;686 486,49;;300 965,00;398 107,50;589 343,99;
Обороты за Март 25;589 343,99;;210 140,00;97 142,50;702 341,49;
Обороты за Апрель 25;702 341,49;;470 480,00;327 032,50;845 788,99;
Обороты за Май 25;845 788,99;;28 275,00;277 901,25;596 162,74;
Обороты за Июнь 25;596 162,74;;228 930,00;103 961,25;721 131,49;
Обороты за Июль 25;721 131,49;;280 830,00;452 527,50;549 433,99;
Обороты за Август 25;549 433,99;;220 170,00;151 302,50;618 301,49;
"База ""Продукты"" ";;0,41;;;;0,41
Бар Дионис;;239 848,75;3 711 907,50;4 009 532,50;;537 473,75
Обороты за Январь 25;;239 848,75;331 730,00;539 315,00;;447 433,75
Обороты за Февраль 25;;447 433,75;1 181 653,75;849 198,75;;114 978,75
Обороты за Март 25;;114 978,75;362 070,00;632 590,00;;385 498,75
Обороты за Апрель 25;;385 498,75;151 070,00;248 282,50;;482 711,25
Обороты за Май 25;;482 711,25;348 280,00;248 775,00;;383 206,25
Обороты за Июнь 25;;383 206,25;394 720,00;361 167,50;;349 653,75
Обороты за Июль 25;;349 653,75;942 383,75;756 616,25;;163 886,25
Обороты за Август 25;;163 886,25;;373 587,50;;537 473,75
Внуковский комбинат бортового питания;;74 258,75;1 869 160,00;1 754 088,75;40 812,50;
Обороты за Январь 25;;74 258,75;198 560,00;264 485,00;;140 183,75
Обороты за Февраль 25;;140 183,75;81 030,00;102 995,00;;162 148,75
Обороты за Апрель 25;;162 148,75;95 000,00;111 765,00;;178 913,75
Обороты за Май 25;;178 913,75;678 918,75;284 618,75;215 386,25;
Обороты за Июнь 25;215 386,25;;93 940,00;256 295,00;53 031,25;
Обороты за Июль 25;53 031,25;;349 990,00;430 690,00;;27 668,75
Обороты за Август 25;;27 668,75;371 721,25;303 240,00;40 812,50;
"Военный санаторий ""Рублево-успенское""";74 358,75;;2 621 045,00;2 458 037,50;237 366,25;
Обороты за Январь 25;74 358,75;;369 663,75;281 851,25;162 171,25;
Обороты за Февраль 25;162 171,25;;588 810,00;314 220,00;436 761,25;
Обороты за Март 25;436 761,25;;;577 857,50;;141 096,25
Обороты за Апрель 25;;141 096,25;40 920,00;74 860,00;;175 036,25
Обороты за Май 25;;175 036,25;292 040,00;161 365,00;;44 361,25
Обороты за Июнь 25;;44 361,25;59 700,00;180 985,00;;165 646,25
Обороты за Июль 25;;165 646,25;624 515,00;477 128,75;;18 260,00
Обороты за Август 25;;18 260,00;645 396,25;389 770,00;237 366,25;
Вулкан (магазин);;254 508,75;3 873 297,50;3 804 527,50;;185 738,75
Обороты за Январь 25;;254 508,75;170 440,00;116 742,50;;200 811,25
Обороты за Февраль 25;;200 811,25;220 090,00;204 612,50;;185 333,75
Обороты за Март 25;;185 333,75;500 168,75;310 483,75;4 351,25;
Обороты за Апрель 25;4 351,25;;481 706,25;604 413,75;;118 356,25
Обороты за Май 25;;118 356,25;1 005 307,50;711 185,00;175 766,25;
Обороты за Июнь 25;175 766,25;;878 010,00;628 030,00;425 746,25;
Обороты за Июль 25;425 746,25;;398 295,00;1 011 471,25;;187 430,00
Обороты за Август 25;;187 430,00;219 280,00;217 588,75;;185 738,75
"Дом отдыха ""Лесная поляна""";643 393,75;;2 220 110,00;2 663 178,75;200 325,00;
Обороты за Январь 25;643 393,75;;315 735,00;128 112,50;831 016,25;
Обороты за Февраль 25;831 016,25;;;513 392,50;317 623,75;
Обороты за Март 25;317 623,75;;61 645,00;291 153,75;88 115,00;
Обороты за Апрель 25;88 115,00;;245 090,00;123 087,50;210 117,50;
Обороты за Май 25;210 117,50;;348 615,00;248 655,00;310 077,50;
Обороты за Июнь 25;310 077,50;;830 470,00;328 621,25;811 926,25;
Обороты за Июль 25;811 926,25;;205 845,00;870 081,25;147 690,00;
Обороты за Август 25;147 690,00;;212 710,00;160 075,00;200 325,00;
Евротрейд;412 916,62;;4 753 069,80;4 535 301,26;630 685,16;
Обороты за Январь 25;412 916,62;;430 663,87;588 662,38;254 918,11;
Обороты за Февраль 25;254 918,11;;994 914,61;533 722,19;716 110,53;
Обороты за Март 25;716 110,53;;156 631,70;320 901,61;551 840,62;
Обороты за Апрель 25;551 840,62;;412 144,44;660 616,78;303 368,28;
Обороты за Май 25;303 368,28;;848 294,44;879 531,89;272 130,83;
Обороты за Июнь 25;272 130,83;;165 464,49;358 947,77;78 647,55;
Обороты за Июль 25;78 647,55;;1 104 706,41;319 889,15;863 464,81;
Обороты за Август 25;863 464,81;;640 249,84;873 029,49;630 685,16;
Единая дирекция закупок;441 491,25;;1 506 790,00;1 294 110,00;654 171,25;
Обороты за Январь 25;441 491,25;;414 340,00;13 810,00;842 021,25;
Обороты за Февраль 25;842 021,25;;;414 340,00;427 681,25;
Обороты за Март 25;427 681,25;;89 780,00;;517 461,25;
Обороты за Апрель 25;517 461,25;;103 070,00;44 890,00;575 641,25;
Обороты за Май 25;575 641,25;;162 170,00;147 960,00;589 851,25;
Обороты за Июнь 25;589 851,25;;196 630,00;106 330,00;680 151,25;
Обороты за Июль 25;680 151,25;;355 560,00;391 140,00;644 571,25;
Обороты за Август 25;644 571,25;;185 240,00;175 640,00;654 171,25;
ИНТЕРНЕТ РЕШЕНИЯ ООО;;;2 680 000,00;2 680 000,00;;
Обороты за Январь 25;;;335 000,00;335 000,00;;
Обороты за Февраль 25;;;335 000,00;335 000,00;;
Обороты за Март 25;;;335 000,00;334 850,00;150,00;
Обороты за Апрель 25;150,00;;335 000,00;335 000,00;150,00;
Обороты за Май 25;150,00;;335 000,00;333 250,00;1 900,00;
Обороты за Июнь 25;1 900,00;;335 000,00;335 000,00;1 900,00;
Обороты за Июль 25;1 900,00;;335 000,00;335 000,00;1 900,00;
Обороты за Август 25;1 900,00;;335 000,00;336 900,00;;
Интертрейд;521 551,89;;5 743 580,23;6 206 553,91;58 578,21;
Обороты за Январь 25;521 551,89;;823 924,82;1 171 640,01;173 836,70;
Обороты за Февраль 25;173 836,70;;431 865,21;399 660,20;206 041,71;
Обороты за Март 25;206 041,71;;397 317,34;580 455,66;22 903,39;
Обороты за Апрель 25;22 903,39;;524 418,08;664 454,40;;117 132,93
Обороты за Май 25;;117 132,93;1 336 398,57;1 164 191,12;55 074,52;
Обороты за Июнь 25;55 074,52;;1 366 378,59;1 463 816,83;;42 363,72
Обороты за Июль 25;;42 363,72;634 799,81;524 612,00;67 824,09;
Обороты за Август 25;67 824,09;;228 477,81;237 723,69;58 578,21;
"Кафе ""Аполлон""";177 705,00;;1 171 770,00;1 126 505,00;222 970,00;
Обороты за Январь 25;177 705,00;;149 210,00;89 735,00;237 180,00;
Обороты за Февраль 25;237 180,00;;23 670,00;149 210,00;111 640,00;
Обороты за Март 25;111 640,00;;99 770,00;24 740,00;186 670,00;
Обороты за Апрель 25;186 670,00;;73 710,00;75 567,50;184 812,50;
Обороты за Май 25;184 812,50;;280 875,00;271 956,25;193 731,25;
Обороты за Июнь 25;193 731,25;;245 665,00;197 053,75;242 342,50;
Обороты за Июль 25;242 342,50;;95 060,00;225 667,50;111 735,00;
Обороты за Август 25;111 735,00;;203 810,00;92 575,00;222 970,00;
"Кафе-кондитерская ""Зефир""";391 342,50;;718 345,00;666 240,00;443 447,50;
Обороты за Январь 25;391 342,50;;;176 390,00;214 952,50;
Обороты за Февраль 25;214 952,50;;3 300,00;1 650,00;216 602,50;
Обороты за Март 25;216 602,50;;55 550,00;1 650,00;270 502,50;
Обороты за Апрель 25;270 502,50;;114 430,00;27 775,00;357 157,50;
Обороты за Май 25;357 157,50;;;141 620,00;215 537,50;
Обороты за Июнь 25;215 537,50;;51 240,00;5 232,50;261 545,00;
Обороты за Июль 25;261 545,00;;147 515,00;83 471,25;325 588,75;
Обороты за Август 25;325 588,75;;346 310,00;228 451,25;443 447,50;
Кондитерская фабрика купца Абрикосова;;150 000,00;;;;150 000,00
Конфетпром ООО;;;5 400,00;5 400,00;;
Обороты за Февраль 25;;;5 400,00;5 400,00;;
"Магазин ""Продукты 24 часа""";483 656,25;;1 235 950,00;1 235 950,00;483 656,25;
Обороты за Январь 25;483 656,25;;105 760,00;;589 416,25;
Обороты за Февраль 25;589 416,25;;296 330,00;180 310,00;705 436,25;
Обороты за Март 25;705 436,25;;;171 285,00;534 151,25;
Обороты за Апрель 25;534 151,25;;146 405,00;80 675,00;599 881,25;
Обороты за Май 25;599 881,25;;347 080,00;206 832,50;740 128,75;
Обороты за Июнь 25;740 128,75;;108 200,00;308 197,50;540 131,25;
Обороты за Июль 25;540 131,25;;216 515,00;28 220,00;728 426,25;
Обороты за Август 25;728 426,25;;15 660,00;260 430,00;483 656,25;
Магазин №23;;2 360,00;4 760,00;2 360,00;40,00;
Обороты за Февраль 25;;2 360,00;4 760,00;2 360,00;40,00;
МАРКЕТПЛЕЙС ООО;;;801 000,00;801 000,00;;
Обороты за Апрель 25;;;;156 400,00;;156 400,00
Обороты за Май 25;;156 400,00;156 400,00;298 800,00;;298 800,00
Обороты за Июнь 25;;298 800,00;298 800,00;143 600,00;;143 600,00
Обороты за Июль 25;;143 600,00;143 600,00;202 200,00;;202 200,00
Обороты за Август 25;;202 200,00;202 200,00;;;
Неавтоматизированная торговая точка магазина 23;;;7 500,00;7 500,00;;
Обороты за Февраль 25;;;7 500,00;7 500,00;;
Никитаева И.В.;99 552,50;;1 329 011,25;1 327 472,50;101 091,25;
Обороты за Январь 25;99 552,50;;267 362,50;209 552,50;157 362,50;
Обороты за Февраль 25;157 362,50;;216 185,00;198 452,50;175 095,00;
Обороты за Март 25;175 095,00;;219 056,25;347 007,50;47 143,75;
Обороты за Апрель 25;47 143,75;;109 560,00;260 078,75;;103 375,00
Обороты за Май 25;;103 375,00;;21 677,50;;125 052,50
Обороты за Июль 25;;125 052,50;516 847,50;192 755,00;199 040,00;
Обороты за Август 25;199 040,00;;;97 948,75;101 091,25;
Орион (магазин);145 025,00;;2 482 890,00;2 449 263,75;178 651,25;
Обороты за Январь 25;145 025,00;;608 245,00;307 020,00;446 250,00;
Обороты за Февраль 25;446 250,00;;728 065,00;439 050,00;735 265,00;
Обороты за Март 25;735 265,00;;200 670,00;686 702,50;249 232,50;
Обороты за Апрель 25;249 232,50;;67 290,00;304 277,50;12 245,00;
Обороты за Май 25;12 245,00;;432 410,00;68 548,75;376 106,25;
Обороты за Июнь 25;376 106,25;;187 630,00;564 336,25;;600,00
Обороты за Июль 25;;600,00;;17 540,00;;18 140,00
Обороты за Август 25;;18 140,00;258 580,00;61 788,75;178 651,25;
"Праздничное агентство ""Третий Рим""";101 820,00;;1 574 205,00;1 390 055,00;285 970,00;
Обороты за Январь 25;101 820,00;;111 610,00;114 942,50;98 487,50;
Обороты за Февраль 25;98 487,50;;303 250,00;287 952,50;113 785,00;
Обороты за Март 25;113 785,00;;170 310,00;111 657,50;172 437,50;
Обороты за Апрель 25;172 437,50;;276 325,00;127 732,50;321 030,00;
Обороты за Май 25;321 030,00;;365 070,00;291 496,25;394 603,75;
Обороты за Июнь 25;394 603,75;;106 375,00;348 958,75;152 020,00;
Обороты за Июль 25;152 020,00;;137 510,00;69 215,00;220 315,00;
Обороты за Август 25;220 315,00;;103 755,00;38 100,00;285 970,00;
РВБ ООО;;;1 820 500,00;1 850 650,00;;30 150,00
Обороты за Март 25;;;308 000,00;308 000,00;;
Обороты за Апрель 25;;;308 000,00;307 800,00;200,00;
Обороты за Май 25;200,00;;308 000,00;307 500,00;700,00;
Обороты за Июнь 25;700,00;;335 000,00;335 700,00;;
Обороты за Июль 25;;;362 500,00;328 650,00;33 850,00;
Обороты за Август 25;33 850,00;;199 000,00;263 000,00;;30 150,00
Склад Мегамаркета;;;1 206 000,00;1 206 000,00;;
Обороты за Апрель 25;;;234 600,00;234 600,00;;
Обороты за Май 25;;;448 200,00;448 200,00;;
Обороты за Июнь 25;;;215 400,00;215 400,00;;
Обороты за Июль 25;;;307 800,00;307 800,00;;
Столовая №101;373 557,50;;2 624 240,00;2 432 800,00;564 997,50;
Обороты за Январь 25;373 557,50;;663 525,00;157 855,00;879 227,50;
Обороты за Февраль 25;879 227,50;;35 215,00;143 686,25;770 756,25;
Обороты за Март 25;770 756,25;;63 180,00;492 473,75;341 462,50;
Обороты за Апрель 25;341 462,50;;147 050,00;90 698,75;397 813,75;
Обороты за Май 25;397 813,75;;263 530,00;239 561,25;421 782,50;
Обороты за Июнь 25;421 782,50;;724 355,00;883 162,50;262 975,00;
Обороты за Июль 25;262 975,00;;539 195,00;78 141,25;724 028,75;
Обороты за Август 25;724 028,75;;188 190,00;347 221,25;564 997,50;
